product_id,title,brand,category,color,size,actual_price,current_price,status,imageurl
RR817,CONTRASTING PLACKET KNITTED POLO,rare rabbit,polo,dusky pink,s,3299.00,3299.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/CHARLESDUSKYPINK__CHARLESDUSKYPINK__3.jpg?v=1722426582
RR817,CONTRASTING PLACKET KNITTED POLO,rare rabbit,polo,dusky pink,m,3299.00,3299.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/CHARLESDUSKYPINK__CHARLESDUSKYPINK__3.jpg?v=1722426582
RR817,CONTRASTING PLACKET KNITTED POLO,rare rabbit,polo,dusky pink,l,3299.00,3299.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/CHARLESDUSKYPINK__CHARLESDUSKYPINK__3.jpg?v=1722426582
RR817,CONTRASTING PLACKET KNITTED POLO,rare rabbit,polo,dusky pink,xl,3299.00,3299.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/CHARLESDUSKYPINK__CHARLESDUSKYPINK__3.jpg?v=1722426582
RR817,CONTRASTING PLACKET KNITTED POLO,rare rabbit,polo,dusky pink,2xl,3299.00,3299.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/CHARLESDUSKYPINK__CHARLESDUSKYPINK__3.jpg?v=1722426582
RR817,CONTRASTING PLACKET KNITTED POLO,rare rabbit,polo,dusky pink,3xl,3299.00,3299.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/CHARLESDUSKYPINK__CHARLESDUSKYPINK__3.jpg?v=1722426582
RR818, SMART POLO WITH EMBROIDERED LOGO,rare rabbit,polo,flouroscent olive,xs,2799.00,2099.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/Pareto-olive-02602.jpg?v=1710232616
RR818, SMART POLO WITH EMBROIDERED LOGO,rare rabbit,polo,flouroscent olive,s,2799.00,2099.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/Pareto-olive-02602.jpg?v=1710232616
RR818, SMART POLO WITH EMBROIDERED LOGO,rare rabbit,polo,flouroscent olive,m,2799.00,2099.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/Pareto-olive-02602.jpg?v=1710232616
RR818, SMART POLO WITH EMBROIDERED LOGO,rare rabbit,polo,flouroscent olive,l,2799.00,2099.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/Pareto-olive-02602.jpg?v=1710232616
RR818, SMART POLO WITH EMBROIDERED LOGO,rare rabbit,polo,flouroscent olive,xl,2799.00,2099.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/Pareto-olive-02602.jpg?v=1710232616
RR818, SMART POLO WITH EMBROIDERED LOGO,rare rabbit,polo,flouroscent olive,2xl,2799.00,2099.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/Pareto-olive-02602.jpg?v=1710232616
RR819,PLAIN POLO WITH ZIPPER CLOSURE,rare rabbit,polo,off white,xs,3899.00,1949.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/DRAXOFFWHITECC_33118_25e397c2-5a75-4a4a-8564-04b1af0d45fa.jpg?v=1721030923
RR819,PLAIN POLO WITH ZIPPER CLOSURE,rare rabbit,polo,off white,s,3899.00,1949.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/DRAXOFFWHITECC_33118_25e397c2-5a75-4a4a-8564-04b1af0d45fa.jpg?v=1721030923
RR819,PLAIN POLO WITH ZIPPER CLOSURE,rare rabbit,polo,off white,m,3899.00,1949.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/DRAXOFFWHITECC_33118_25e397c2-5a75-4a4a-8564-04b1af0d45fa.jpg?v=1721030923
RR819,PLAIN POLO WITH ZIPPER CLOSURE,rare rabbit,polo,off white,l,3899.00,1949.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/DRAXOFFWHITECC_33118_25e397c2-5a75-4a4a-8564-04b1af0d45fa.jpg?v=1721030923
RR819,PLAIN POLO WITH ZIPPER CLOSURE,rare rabbit,polo,off white,xl,3899.00,1949.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/DRAXOFFWHITECC_33118_25e397c2-5a75-4a4a-8564-04b1af0d45fa.jpg?v=1721030923
RR819,PLAIN POLO WITH ZIPPER CLOSURE,rare rabbit,polo,off white,2xl,3899.00,1949.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/DRAXOFFWHITECC_33118_25e397c2-5a75-4a4a-8564-04b1af0d45fa.jpg?v=1721030923
RR820,PREMIUM MERCERISED JACQUARD POLO,rare rabbit,polo,purple,s,3699.00,3699.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/DAFO-PURPLE04453.jpg?v=1706868137
RR820,PREMIUM MERCERISED JACQUARD POLO,rare rabbit,polo,purple,m,3699.00,3699.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/DAFO-PURPLE04453.jpg?v=1706868137
RR820,PREMIUM MERCERISED JACQUARD POLO,rare rabbit,polo,purple,l,3699.00,3699.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/DAFO-PURPLE04453.jpg?v=1706868137
RR820,PREMIUM MERCERISED JACQUARD POLO,rare rabbit,polo,purple,xl,3699.00,3699.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/DAFO-PURPLE04453.jpg?v=1706868137
RR820,PREMIUM MERCERISED JACQUARD POLO,rare rabbit,polo,purple,2xl,3699.00,3699.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/DAFO-PURPLE04453.jpg?v=1706868137
RR820,PREMIUM MERCERISED JACQUARD POLO,rare rabbit,polo,purple,3xl,3699.00,3699.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/DAFO-PURPLE04453.jpg?v=1706868137
RR821,TEXTURED JACQUARD POLO,rare rabbit,polo,pastel yellow,xs,3499.00,2624.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/NIELSONYELLOW__6.jpg?v=1719047279
RR821,TEXTURED JACQUARD POLO,rare rabbit,polo,pastel yellow,s,3499.00,2624.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/NIELSONYELLOW__6.jpg?v=1719047279
RR821,TEXTURED JACQUARD POLO,rare rabbit,polo,pastel yellow,m,3499.00,2624.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/NIELSONYELLOW__6.jpg?v=1719047279
RR821,TEXTURED JACQUARD POLO,rare rabbit,polo,pastel yellow,l,3499.00,2624.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/NIELSONYELLOW__6.jpg?v=1719047279
